State,Average Home Value
HI,532082.7609679938
CA,508746.6251647331
DC,460258.40449438203
NJ,387152.20861216664
MA,372868.6777181079
NY,341364.3663337783
CT,313122.56209501857
RI,312947.33365545113
MD,303235.85358264425
WA,298537.1112261147
NV,297463.25386661413
CO,295005.277742022
UT,285858.69637408253
DE,274509.09543178976
MT,260498.50539731496
OR,249374.11694152924
WY,244094.64317460317
NH,243682.49718377428
FL,241164.4327689678
VA,234364.2153745155
ID,227040.64961577012
AK,221883.9749384994
VT,217645.49675141965
AZ,204897.90723680845
ME,196073.6128343269
MN,193981.51811096162
WI,188396.69633478194
ND,183898.00857878182
NM,181948.77988001847
IL,180997.68101029526
SD,176939.8512225818
TX,172101.01641214144
PA,168042.5471074849
NC,164863.2345461968
SC,160220.00896333734
MO,149202.29263673924
MI,149113.3822676018
LA,145787.59227814342
NE,138294.38746088045
OH,137706.71440415285
GA,135749.42504128377
KS,132638.91838565023
IA,128030.42508448393
IN,126992.41314819275
AL,122321.56707476189
TN,120434.67881253904
MS,110911.33715204832
KY,103602.78488412486
WV,92828.42263003212
AR,90503.80761557202
OK,81616.2738978212
